#######################
##
## License goes here
##
#######################
a	ɑ
aacht	aːχt
aachtafofzeg	aːʁdɑfoftsəɕ
aachtandrësseg	aːχtɑndʀəsəɕ
aachte	aːχtə
aachten	aːχtən
aangel	aːŋəl
aangelkreepche	aːŋəlkʀeːpɕə
aangelkreepchen	aːŋəlkʀeːpɕən
aarbecht	aːɐbəɕt
aarbechter	aːɐbəɕtɐ
aarbechterinne	aːɐbəɕtəʀinə
aarbechtsamt	aːɐbəɕtsɑmt
aarbechtsämter	aːɐbəɕtsæmtɐ
aarbechtskolleeginne	aːɐbəɕtskoleːʑinə
aarbechtskolleg	aːɐbəɕtskoleːɕ
aarbechtskolleginne	aːɐbəɕtskoleːʑinə
aarbechtslost	aːɐbəɕtsloːst
aarbechtsministär	aːɐbəɕtsministɛːʀ
aarbechtsministère	aːɐbəɕtsministɛːʀ
aarbechtsplaz	aːɐbəɕtsplaːts
aarbechtszäit	aːɐbəɕtstsæːɪt
aarm	aːɐm
aarmbandauer	aːɐmbɑndɑʊɐ
aarme	aːʀmə
aarmséileg	aːɐmsɜɪləɕ
aarmutsituatiounen	aːɐmutzitwatsjəʊnən
aarmutsrisiko	aːɐmutsʀizikoː
aarmutt	aːɐmut
aart	aːʀt
aartlech	aːʀtləɕ
aascht	aːʃt
aaxt	aːkst
abatjour	ɑbaːʒuːʀ
abattement	ɑbɑtəmɑ̃ː
abattemente	ɑbɑtəmɑ̃ːə
abattementen	ɑbɑtəmɑ̃ːən
abberzuel	ɑbɐtsuəl
abc	aːbeːtseː
abee	ɑbeː
abegräife	ɑbəgʀæːɪfə
abegräifen	ɑbəgʀæːɪfən
abendmahl	aːbəntmaːl
abenteuer	aːbəntoɪɐ
abezuele	ɑbətsuələ
abezuelen	ɑbətsuələn
abgöttesch	ɑbgøtəʃ
abiméiere	ɑbimɜɪəʀə
abiméieren	ɑbimɜɪəʀən
abléck	ɑblek
abonnentinne	ɑbonæntinə
abrëll	ɑbʀəl
abrëllsgeck	ɑbʀəlsgæk
abriecherinne	ɑbʀiəɕəʀinə
abroch	ɑbʀoχ
abscheilech	ɑpʃɑɪləɕ
absenteismus	ɑbzænteːismus
absichtlech	ɑpziɕtləɕ
absolutt	ɑpzolut
absolventinne	ɑbzolvæntinə
abstraéiert	ɑbstʀɑɜɪɐt
abstraéiertes	ɑbstʀɑɜɪɐtəs
abstrakt	ɑbstʀɑkt
absurd	ɑpzuʀt
äbtissinne	æptisinə
abus	ɑbyː
abuse	ɑbyːə
abusen	ɑbyːən
acceleratioun	ɑkseləʀatsjəʊn
acceleratiounen	ɑksæləʀatsjəʊnən
acceleréier	ɑkseləʀɜɪɐ
acceleréiere	ɑkseləʀɜɪəʀə
accent	ɑksɑ̃ː
accentuéier	ɑksɑ̃ːtyɜɪɐ
accentuéiere	ɑksɑ̃ːtyɜɪəʀə
accentuéieren	ɑksɑ̃ːtyɜɪəʀən
accès	ɑksɛː
accèse	ɑksɛːə
accèsen	ɑksɛːən
accessibeles	ɑksæsibələs
accident	ɑksidænt
accisë	ɑksiːzə
accisen	ɑksiːzən
accord	ɑkɔːʀ
accouchéiere	ɑkuʃɜɪəʀə
accouchéieren	ɑkuʃɜɪəʀən
accouchement	ɑkuʃəmænt
accroc	ɑkʀoː
accueil	ɑkœj
accueile	ɑkœjə
accueilen	ɑkœjən
accumuléiere	ɑkymylɜɪəʀə
accumuléieren	ɑkymylɜɪəʀən
achterbunn	ɑχtɐbun
achtkanteges	ɑχtkɑntəʑəs
achzeg	ɑχtsəɕ
acompte	ɑkɑ̃ːnt
acomptë	ɑkɑ̃ːntə
acompten	ɑkɑ̃ːntən
acompter	ɑkɑ̃ːntɐ
acquis	ɑkiː
acquise	ɑkiːə
acquisen	ɑkiːən
acquisitioun	ɑkizitsjəʊn
acquittéiere	ɑkitɜɪəʀə
acteur	ɑktœːʀ
acteure	ɑktœːʀə
actionnairinne	ɑksjoːnɛːʀinə
äddi	ædiː
äddie	ædiːə
äddien	ædiːən
adeleg	aːdələɕ
adelege	aːdələʑə
adequaatst	ɑdekwaːtst
adequaatste	ɑdekwaːtstə
adhésioun	ɑtheːzjəʊn
adjektiv	ɑtjektiːf
adjoint	ɑdʒwɛ̃ː
adjointë	ɑdʒwɛ̃ːə
adjointe	ɑdʒwɛ̃ːnt
adjointeë	ɑdʒwɛ̃ːntə
adjointeën	ɑdʒwɛ̃ːntən
adjointen	ɑdʒwɛ̃ːən
adjutant	ɑdʒutɑnt
adjutante	ɑdʒutɑntə
adjutanten	ɑdʒutɑntən
adjutantin	ɑdʒutɑntin
adjutantinne	ɑdʒutɑntinə
adjutantinnen	ɑdʒutɑntinən
adler	aːdlɐ
admirolinne	aːtmiʀoːlinə
adolphe	ɑdolf
adoptéiere	ɑdoptɜɪəʀə
adoptéieren	ɑdoptɜɪəʀən
adoptiounsfamill	ɑdoptjəʊnsfɑmil
adoptiounsfamille	ɑdoptjəʊnsfɑmilə
adoptivjongen	ɑdoptiːfjoŋən
adoptivkand	ɑdoptiːfkɑnt
adoptivmamme	ɑdoptiːfmɑmə
adress	ɑdʀæs
adressate	ɑdʀæsɑt
adresséiere	ɑdʀæsɜɪəʀə
adresséieren	ɑdʀæsɜɪəʀən
adriatesches	ɑdʀjaːtəʃəs
adventskalenner	ɑdvæntskɑlænɐ
ae	aːə
aen	aːən
aendeckel	aːəndækəl
aendokter	aːəndoktɐ
äerd	ɛːɐt
äerdbier	ɛːɐtbiːɐ
äerdbiewe	ɛːɐtbiəvə
äerdbiewen	ɛːɐtbiəvən
äerdeg	ɛːɐdəɕ
äerdejoer	ɛːɐdəjoːɐ
aerobic	ɛːʀobik
aerodynamesch	ɛːʀoːdinaːməʃ
aerodynamik	aːəʀoːdinɑmik
äert	ɛːɐt
af	aːf
afaalt	ɑfaːlt
afalen	ɑfaːlən
afe	aːfə
afeger	aːfəʑɐ
afegst	aːfəɕst
afegste	aːfəɕstə
afëllen	ɑfələn
afen	aːfən
affär	ɑfɛːʀ
affekot	ɑfəkoːt
affekotecabinet	ɑfəkoːtəkɑbineː
affekotinne	ɑfəkoːtinə
affer	ɑfɐ
affere	ɑfəʀə
afferen	ɑfəʀən
afferstack	ɑfɐʃtɑk
affichagë	ɑfiʃaːʒə
affinitéit	ɑfinitɜɪt
affirmativem	ɑfiʀmɑtiːvəm
affisch	ɑfiʃ
affischéiere	ɑfiʃɜɪəʀə
affischéieren	ɑfiʃɜɪəʀən
afganistan	ɑfgaːnistaːn
afoul	ɑfəʊl
afoulen	ɑfəʊlən
afouls	ɑfəʊls
afoult	ɑfəʊlt
afüge	ɑfyːʑə
afügen	ɑfyːʑən
agank	ɑgɑŋk
agebaute	ɑgəbæːʊt
agebilt	ɑgəbilt
agebilte	ɑgəbiltə
agebilten	ɑgəbiltən
agebuerene	ɑgəbuəʀənə
agebuerenen	ɑgəbuəʀənən
agecheckt	ɑgetʃækt
agecheckte	ɑgetʃæktə
agechecktem	ɑgetʃæktəm
agence	ɑʒɑ̃ːs
agenda	ɑʒændaː
agentinne	ɑgæntinə
agestoe	ɑgəʃtoːə
agestoen	ɑgəʃtoːən
agglomeratioun	ɑglomeʀatsjəʊn
agoe	ɑgoːə
agoen	ɑgoːən
agréabel	ɑgʀeaːbəl
agreabele	ɑgʀeaːbələ
agreabelem	ɑgʀeaːbələm
ähnlech	ɛːnləɕ
ahor	aːoːʀ
ahorn	aːhɔʀn
ahorne	aːhɔʀnə
aide	ɛːt
aiden	ɛːdən
aids	ɜɪts
äis	æːɪs
äisbier	æːɪsbiːɐ
äiseg	æːɪzəɕ
äisege	æːɪzəʑə
äisegem	æːɪzəʑəm
äisegen	æːɪzəʑən
äiser	æːɪzɐ
äiskal	æːɪskaːl
äiskonschtleeferinne	æːɪskonʃtleːfəʀinə
äisschongfuere	æːɪsʃoŋfuəʀə
äisschongfueren	æːɪsʃoŋfuəʀən
ajustéiere	ɑʒystɜɪəʀə
ajustéieren	ɑʒystɜɪəʀən
akachs	ɑkɑχs
akacht	ɑkɑχt
akademikerinne	ɑkaːdeːmikəʀinə
akaf	ɑkaːf
akafe	ɑkaːfə
akafen	ɑkaːfən
akafskuerf	ɑkaːfskuəf
akafsweenche	ɑkaːfsveːnɕə
akafsweenchen	ɑkaːfsveːnɕən
akaul	aːkɑʊl
akeren	aːkəʀən
akkord	ɑkɔːʀ
akkord	ɑkɔχt
akkorden	ɑkɔːʀən
akkorden	ɑkɔʀdən
akkordeon	ɑkɔʀdeːɑ̃ː
akkordeone	ɑkɔʀdeːɑ̃ːə
akkordeonen	ɑkɔʀdeːɑ̃ːən
akkordeonist	ɑkɔːʀdeːonist
akku	ɑkuː
akkue	ɑkuːə
akkuen	ɑkuːən
aklamme	ɑklɑmə
aklammen	ɑklɑmən
aklemme	ɑklæmə
aklemmen	ɑklæmən
akrobat	ɑkʀobaːt
akrobate	ɑkʀobaːtə
akrobaten	ɑkʀobaːtən
akrobatinne	ɑkʀobaːtinə
akt	ɑkt
aktie	ɑksjə
aktien	ɑksjən
aktionärinne	ɑksjoːnɛːʀinə
aktioun	ɑksjəʊn
aktiv	ɑktiːf
aktiven	ɑktiːvən
aktiver	ɑktiːvɐ
aktivistinne	ɑktivistinə
aktivitéit	ɑktivitɜɪt
aktuell	ɑktwæl
al	aːl
aläert	ɑlɛːɐt
alain	ɑlɛ̃ː
alarm	ɑlaːʀm
albanien	ɑlbɑnjən
album	ɑlbum
ale	aːlə
alen	aːlən
alertéiere	ɑlæʀtɜɪəʀə
alertéieren	ɑlæʀtɜɪəʀən
alg	ɑlɕ
alge	ɑlʑə
algen	ɑlʑən
algeresch	ɑlʒeːʀəʃ
algerier	ɑlʒeːʀiːɐ
alibien	aːlibiːən
aliichte	ɑliːɕtə
aliichten	ɑliːɕtən
alkohol	ɑlkohoːl
alkohole	ɑlkohoːlə
alkoholikerinne	ɑlkohoːlikəʀinə
all	ɑl
allebéid	ɑləbɜɪt
alleguer	ɑləguːɐ
allergië	ɑlæʀʒiːə
allergien	ɑlæʀʒiːən
allerhellge	ɑlɐhælʑə
allerhellgen	ɑlɐhælʑən
allerlee	ɑlɐleː
allerséile	ɑlɐzɜɪlə
allerséilen	ɑlɐzɜɪlən
alles	ɑləs
allgemeng	ɑlgəmæŋ
allianz	ɑljɑnts
allianze	ɑljɑntsə
allianzen	ɑljɑntsən
alliéierten	ɑljɜɪɐtən
alliéierter	ɑljɜɪɐtɐ
allo	ɑloː
allür	ɑlyːʀ
allüre	ɑlyːʀ
allure	ɑlyːʀə
allurë	ɑlyːʀə
alluren	ɑlyːʀən
almose	ɑlmoːzə
almosen	ɑlmoːzən
almoudesch	aːlməʊdəʃ
alpinistinne	ɑlpinistinə
alrodeschhaff	aːlʀoːdəʃhɑf
als	ɑls
also	ɑlzoː
alstad	aːlʃtaːt
alter	ɑltɐ
alternativ	ɑltɛɐnatiːf
altersgrenz	ɑltɐsgʀænts
altertum	ɑltɐtum
altess	ɑltæs
altesse	ɑltæs
altesse	ɑltæsə
altessen	ɑltæsən
aluede	ɑluədə
alueden	ɑluədən
aluminium	ɑluminjum
